Default Report,,,,,1,2,3,4,5
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Two men are on a boat going to catch fish.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,4.76%,1,,,,,,
3,Neither likely nor unlikely,19.05%,4,,,,,,
4,Likely,57.14%,12,,,,,,
5,Very Likely,19.05%,4,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q45 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men wearing dingy blue clothing are doing their job on a boat. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Two men are on a boat.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,5.00%,1,,,,,,
4,Likely,25.00%,5,,,,,,
5,Very Likely,70.00%,14,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q46 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men wearing dingy blue clothing are doing their job on a boat. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The men are are.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,52.63%,10,,,,,,
2,Unlikely,21.05%,4,,,,,,
3,Neither likely nor unlikely,21.05%,4,,,,,,
4,Likely,5.26%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q47 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Woman is looking something. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman is blind.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,75.00%,15,,,,,,
2,Unlikely,20.00%,4,,,,,,
3,Neither likely nor unlikely,5.00%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q48 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Woman is looking something. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman is looking at a man.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,4.76%,1,,,,,,
2,Unlikely,14.29%,3,,,,,,
3,Neither likely nor unlikely,47.62%,10,,,,,,
4,Likely,23.81%,5,,,,,,
5,Very Likely,9.52%,2,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q49 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Woman is looking something. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman is looking.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,5.26%,1,,,,,,
3,Neither likely nor unlikely,10.53%,2,,,,,,
4,Likely,52.63%,10,,,,,,
5,Very Likely,31.58%,6,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q50 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Woman is looking something. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman is looking an something.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,5.56%,1,,,,,,
3,Neither likely nor unlikely,11.11%,2,,,,,,
4,Likely,33.33%,6,,,,,,
5,Very Likely,50.00%,9,,,,,,
,Total,100%,18,,,,,,
,,,,,,,,,
Q51 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men working on farm equipment that is being pulled by two horses. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The equipment is being pulled by sheep.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,60.00%,12,,,,,,
2,Unlikely,20.00%,4,,,,,,
3,Neither likely nor unlikely,10.00%,2,,,,,,
4,Likely,10.00%,2,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q52 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men working on farm equipment that is being pulled by two horses. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The horses are both brown.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,10.53%,2,,,,,,
2,Unlikely,5.26%,1,,,,,,
3,Neither likely nor unlikely,47.37%,9,,,,,,
4,Likely,26.32%,5,,,,,,
5,Very Likely,10.53%,2,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q53 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men working on farm equipment that is being pulled by two horses. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The men are working on farm stuff.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,5.00%,1,,,,,,
3,Neither likely nor unlikely,10.00%,2,,,,,,
4,Likely,30.00%,6,,,,,,
5,Very Likely,55.00%,11,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q54 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Two men working on farm equipment that is being pulled by two horses. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The men are working.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,5.26%,1,,,,,,
4,Likely,42.11%,8,,,,,,
5,Very Likely,52.63%,10,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q55 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A woman carrying a bucket of flowers. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A dog carrying a basket of food.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,94.44%,17,,,,,,
2,Unlikely,5.56%,1,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,18,,,,,,
,,,,,,,,,
Q56 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A woman carrying a bucket of flowers. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman carrying a bucket of flowers at night.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,4.76%,1,,,,,,
3,Neither likely nor unlikely,14.29%,3,,,,,,
4,Likely,52.38%,11,,,,,,
5,Very Likely,28.57%,6,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q57 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A woman carrying a bucket of flowers. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A bucket of flowers is carried by a woman.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,10.00%,2,,,,,,
2,Unlikely,5.00%,1,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,5.00%,1,,,,,,
5,Very Likely,80.00%,16,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q58 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A woman carrying a bucket of flowers. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A woman carrying in the hands.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,5.26%,1,,,,,,
2,Unlikely,15.79%,3,,,,,,
3,Neither likely nor unlikely,10.53%,2,,,,,,
4,Likely,63.16%,12,,,,,,
5,Very Likely,5.26%,1,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q59 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of people are walking down a busy street. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A group of people are sitting in the library.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,94.44%,17,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,5.56%,1,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,18,,,,,,
,,,,,,,,,
Q60 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of people are walking down a busy street. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A group of people are going to work.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,42.86%,9,,,,,,
4,Likely,57.14%,12,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q61 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of people are walking down a busy street. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
There are people walking.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,5.26%,1,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,5.26%,1,,,,,,
4,Likely,42.11%,8,,,,,,
5,Very Likely,47.37%,9,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q62 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A group of people are walking down a busy street. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A people are walking street.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,15.00%,3,,,,,,
2,Unlikely,25.00%,5,,,,,,
3,Neither likely nor unlikely,10.00%,2,,,,,,
4,Likely,35.00%,7,,,,,,
5,Very Likely,15.00%,3,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q63 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Several brides wearing white dresses are holding red roses. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
There is one bride.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,61.90%,13,,,,,,
2,Unlikely,23.81%,5,,,,,,
3,Neither likely nor unlikely,4.76%,1,,,,,,
4,Likely,4.76%,1,,,,,,
5,Very Likely,4.76%,1,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q64 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Several brides wearing white dresses are holding red roses. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
They are sisters.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,10.00%,2,,,,,,
2,Unlikely,35.00%,7,,,,,,
3,Neither likely nor unlikely,40.00%,8,,,,,,
4,Likely,15.00%,3,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q65 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Several brides wearing white dresses are holding red roses. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
There is a group of brides.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,38.89%,7,,,,,,
5,Very Likely,61.11%,11,,,,,,
,Total,100%,18,,,,,,
,,,,,,,,,
Q66 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Several brides wearing white dresses are holding red roses. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The people are holding in a dresses.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,26.32%,5,,,,,,
2,Unlikely,21.05%,4,,,,,,
3,Neither likely nor unlikely,21.05%,4,,,,,,
4,Likely,21.05%,4,,,,,,
5,Very Likely,10.53%,2,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q67 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Child getting ready to go down a slide. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The child is on a swing.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,50.00%,9,,,,,,
2,Unlikely,33.33%,6,,,,,,
3,Neither likely nor unlikely,16.67%,3,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,18,,,,,,
,,,,,,,,,
Q68 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Child getting ready to go down a slide. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The child will go down the slide.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,4.76%,1,,,,,,
4,Likely,52.38%,11,,,,,,
5,Very Likely,42.86%,9,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q69 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Child getting ready to go down a slide. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The child is at the top of the slide.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,25.00%,5,,,,,,
5,Very Likely,75.00%,15,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q70 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Child getting ready to go down a slide. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A child is outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,5.26%,1,,,,,,
3,Neither likely nor unlikely,5.26%,1,,,,,,
4,Likely,42.11%,8,,,,,,
5,Very Likely,47.37%,9,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q71 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A naked man rides a bike. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A man in a suit walking on a sidewalk.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,80.95%,17,,,,,,
2,Unlikely,9.52%,2,,,,,,
3,Neither likely nor unlikely,4.76%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,4.76%,1,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q72 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A naked man rides a bike. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A naked red haired man on a bike on a busy street.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,11.11%,2,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,27.78%,5,,,,,,
4,Likely,50.00%,9,,,,,,
5,Very Likely,11.11%,2,,,,,,
,Total,100%,18,,,,,,
,,,,,,,,,
Q73 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A naked man rides a bike. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A person biking.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,5.26%,1,,,,,,
2,Unlikely,5.26%,1,,,,,,
3,Neither likely nor unlikely,15.79%,3,,,,,,
4,Likely,52.63%,10,,,,,,
5,Very Likely,21.05%,4,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q74 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
A naked man rides a bike. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
A man rides on a bike.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,50.00%,10,,,,,,
5,Very Likely,50.00%,10,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q75 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Five boys in blue shirts drawing at a table. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The boys are wearing red shirts.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,62.50%,10,,,,,,
2,Unlikely,25.00%,4,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,12.50%,2,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,16,,,,,,
,,,,,,,,,
Q76 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Five boys in blue shirts drawing at a table. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The boys are working on an art project.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,4.76%,1,,,,,,
4,Likely,52.38%,11,,,,,,
5,Very Likely,42.86%,9,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q77 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Five boys in blue shirts drawing at a table. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
There are children wearing blue.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,19.05%,4,,,,,,
4,Likely,28.57%,6,,,,,,
5,Very Likely,52.38%,11,,,,,,
,Total,100%,21,,,,,,
,,,,,,,,,
Q78 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Five boys in blue shirts drawing at a table. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The boys are are.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,40.00%,8,,,,,,
2,Unlikely,15.00%,3,,,,,,
3,Neither likely nor unlikely,40.00%,8,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,5.00%,1,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q79 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Children on the beach with their dog. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The children are asleep on the couch with their dog.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,68.42%,13,,,,,,
2,Unlikely,26.32%,5,,,,,,
3,Neither likely nor unlikely,5.26%,1,,,,,,
4,Likely,0.00%,0,,,,,,
5,Very Likely,0.00%,0,,,,,,
,Total,100%,19,,,,,,
,,,,,,,,,
Q80 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Children on the beach with their dog. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The children are playing catch with their dog.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,20.00%,4,,,,,,
4,Likely,65.00%,13,,,,,,
5,Very Likely,15.00%,3,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q81 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Children on the beach with their dog. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The children are at the ocean with their dog.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,0.00%,0,,,,,,
4,Likely,25.00%,5,,,,,,
5,Very Likely,75.00%,15,,,,,,
,Total,100%,20,,,,,,
,,,,,,,,,
Q82 - Here is a true caption of a photo: ,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
Children on the beach with their dog. Here is an alternate caption:,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
The children are outside.,,,,,,,,,
#,Answer,%,Count,,,,,,
1,Very unlikely,0.00%,0,,,,,,
2,Unlikely,0.00%,0,,,,,,
3,Neither likely nor unlikely,15.79%,3,,,,,,
4,Likely,36.84%,7,,,,,,
5,Very Likely,47.37%,9,,,,,,
,Total,100%,19,,,,,,
